Code,Parent Code,Full Code,Meaning,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder,,
011,AA97,AA97011,Sell for human consumption product derived from an animal the sale/supply for slaughter prohibited by Reg 9,11/08/1997,,Section: 10 & 23,,AA970110,,
012,AA97,AA97012,Dispose of carcase/offal of animal slaughtered under Reg 22 for human/animal consumption,11/08/1997,,Section: 11 & 23,,AA970120,,
013,AA97,AA97013,Without written consent of authorised officer deface/obliterate/remove any paint/stamp/clip/tag on a animal,11/08/1997,,Section: 21(2)(C) & 23,,AA970130,,
014,AA97,AA97014,Engaged in rearing/production/treatment of animals intended for human consumption fail to keep records as required,11/08/1997,,Section: 32(1) & 23,,AA970140,,
015,AA97,AA97015,Owner of establishment of initial processing of animal products fail to keep such records as required,11/08/1997,,Section: 32(2) & 23,,AA970150,,
017,AA97,AA97017,Fail to keep records in chronological order in relation to hormonal substances and beta-agonists,11/08/1997,,Section: 32(3) & 23,,AA970170,,
018,AA97,AA97018,"Fail to keep records as required by Reg 32(1), (2) or (3) in permanent and legible form and retain them for 3 yr period",11/08/1997,,Section: 32(4) & 23,,AA970180,,
001,AB03,AB03001,Posses/control any Category 1 material & fail to comply with Article 4(2) or (3) of Community Regulations,,28/09/2005,Section: 4,,AB030010,,
002,AB03,AB03002,"Posses/control any Category 2 material & fail to comply with Article 5(2), (3) or (4) of Community Regulations",,28/09/2005,Section: 5,,AB030020,,
003,AB03,AB03003,Posses/control any Category 3 material & fail to comply with Article 6(2) or (3) of Community Regulations,,28/09/2005,Section: 6,,AB030030,,
004,AB03,AB03004,"Fail to comply with Art 7(1), (2) or (5) of Comm Regs re collection/transport/storage of animal by-products",,28/09/2005,Section: 8,,AB030040,,
005,AB03,AB03005,Feed animal by-product not processed by Cat 3 plant to a farmed animal,,28/09/2005,Section: 9(1),,AB030050,,
006,AB03,AB03006,Allow farmed animal access to animal by-product not processed in approved plant,,28/09/2005,Section: 9(2)(a),,AB030060,,
007,AB03,AB03007,Allow farmed animal access to animal by-product not treated in approved biogas/composting plant,,28/09/2005,Section: 9(2)(b),,AB030070,,
008,AB03,AB03008,Allow farmed animal access to animal by-product not applied to land 3 weeks before access,,28/09/2005,Section: 9(2)(c),,AB030080,,
009,AB03,AB03009,Bring animal by-product not processed in approved plant on to premises where farmed animal kept,,28/09/2005,Section: 9(3)(a),,AB030090,,
010,AB03,AB03010,Bring animal by-product not treated in approved biogas/composting plant on to premises where farmed animal kept,,28/09/2005,Section: 9(3)(b),,AB030100,,
011,AB03,AB03011,Allow animal access to material in biogas/composting plant,,28/09/2005,Section: 9(5),,AB030110,,
012,AB03,AB03012,Use pasture land for grazing by pigs within 2 months of application of fertiliser/soil improver,,28/09/2005,Section: 11(1)(a) & (2)(a),,AB030120,,
013,AB03,AB03013,Feed to farmed animal (not pigs) anything cropped from pasture within 3 weeks of application of fertiliser/soil improver,,28/09/2005,Section: 11(1)(b) & (2)(b),,AB030130,,
014,AB03,AB03014,Operate plant for storage/treatment etc of animal by-products not approved by Regs & Comm Regs,,28/09/2005,Section: 14,,AB030140,,
015,AB03,AB03015,Fail to comply with Art 25(1) or (2)  re checks on processing and intermediate plant,,28/09/2005,Section: 17,,AB030150,,
016,AB03,AB03016,Fail to send with sample sent to laboratory info in writing re name/address/date taken/identity,,28/09/2005,Section: 20(1)(a),,AB030160,,
017,AB03,AB03017,Tamper with sample taken under Regulations sent to laboratory with intent to affect result of test,,28/09/2005,Section: 20(2),,AB030170,,
018,AB03,AB03018,Fail to keep record of all result of laboratory tests,,28/09/2005,Section: 20(3),,AB030180,,
019,AB03,AB03019,Fail to notify Secretary  of State and operator of premises  of test result,,28/09/2005,Section: 21(7),,AB030190,,
020,AB03,AB03020,"Place pet food, dog chews, technical products on market which do not meet requirements of Comm Regs  Art 20(1)",,28/09/2005,Section: 23(1),,AB030200,,
021,AB03,AB03021,Place fat derivatives produced from Category 2 material  on market which do not meet requirements of Comm Regs  Art 20(3),,28/09/2005,Section: 23(2),,AB030210,,
022,AB03,AB03022,Fail to ensure correct labelling of compost/digestion residues for use on agricultural land which are placed on market,,28/09/2005,Section: 24,,AB030220,,
023,AB03,AB03023,Operate unauthorised  collection centre for purpose of feeding dogs/hounds or maggots,,28/09/2005,Section: 27,,AB030230,,
024,AB03,AB03024,Fail to comply with Art 9(1) of Comm Regs re records for consigning/transporting/receiving animal by-products,,28/09/2005,Section: 33,,AB030240,,
025,AB03,AB03025,Fail to comply with Art 9 of Comm Regs re records for burying/burning animal by-products,,28/09/2005,Section: 34,,AB030250,,
026,AB03,AB03026,Fail to record deliveries to biogas/composting plant of date/quantity of catering waste delivered & name of haulier,,28/09/2005,Section: 36,,AB030260,,
027,AB03,AB03027,Operator of biogas/composting plant fail to record date/description etc of all by-product/catering material treated,,28/09/2005,Section: 37,,AB030270,,
028,AB03,AB03028,Operator of Reg 21 approved laboratory fail to record name/address/date/description/result of sample taken,,28/09/2005,Section: 38,,AB030280,,
029,AB03,AB03029,Occupier of premises fail to record date/quantity of compost/digestion residue is brought in/applied to land,,28/09/2005,Section: 39,,AB030290,,
030,AB03,AB03030,Fail to comply with/contravene a notice served under Regs,,28/09/2005,Section: 45,,AB030300,,
031,AB03,AB03031,Intentionally obstruct/fail to assist/furnish information to  person acting in execution of Regs,,28/09/2005,Section: 47,,AB030310,,
001,AB05,AB05001,Possess/control Category 1 animal by-products & fail to comply with Art 4(2) or (3) of Comm Reg's,28/09/2005,,Section: 4 & 48,,AB050010,,
002,AB05,AB05002,Possess/control Category 2 animal by-products & fail to comply with Art 5(2) or (3) of Comm Reg's,28/09/2005,,Section: 5 & 48,,AB050020,,
003,AB05,AB05003,Possess/control Category 3 animal by-products & fail to comply with Art 6(2) or (3) of Comm Reg's,28/09/2005,,Section: 6 & 48,,AB050030,,
004,AB05,AB05004,"Fail to comply with Art 7(1), (2) or (5) of Comm  Reg's re collection/transport/storage of animal by-products",28/09/2005,,Section: 8 & 48,,AB050040,,
005,AB05,AB05005,Fail to comply with Art 22(1)(b) of Comm  Reg's re feeding of farmed animal with catering waste,28/09/2005,,Section: 9 & 48,,AB050050,,
006,AB05,AB05006,Fail to comply with Art 22(1)(a) of Comm  Reg's re prohibition on intra-species re-cycling,28/09/2005,,Section: 10 & 48,,AB050060,,
007,AB05,AB05007,Bring catering waste on to premises where livestock kept,28/09/2005,,Section: 11 & 48,,AB050070,,
008,AB05,AB05008,Fail to comply with Art 22(1)(c) of Comm  Reg's re application of material to pasture land,28/09/2005,,Section: 12(1) & 48,,AB050080,,
009,AB05,AB05009,Use pasture land for grazing/feed to pigs within specified period,28/09/2005,,Section: 12(2) & 48,,AB050090,,
010,AB05,AB05010,"Operate Category 1, 2 or 3 intermediate/storage/incineration etc plant/installations",28/09/2005,,Section: 14 & 48,,AB050100,,
011,AB05,AB05011,Fail to comply with regulation re treatment of animal by-products in biogas/composting plant,28/09/2005,,Section: 15 & 48,,AB050110,,
012,AB05,AB05012,Fail to comply with Art 25(1) of Comm  Reg's re checking of processing/intermediate plant,28/09/2005,,Section: 17 & 48,,AB050120,,
013,AB05,AB05013,Fail to comply with regulation re sampling at processing plant,28/09/2005,,Section: 18 & 48,,AB050130,,
014,AB05,AB05014,Fail to comply with regulation re sampling at biogas/composting plant,28/09/2005,,Section: 19 & 48,,AB050140,,
015,AB05,AB05015,Fail to comply with regulation re samples sent to laboratories,28/09/2005,,Section: 20 & 48,,AB050150,,
016,AB05,AB05016,Place on market processed animal protein for use as feed material,28/09/2005,,Section: 22 & 48,,AB050160,,
017,AB05,AB05017,Place on market petfood/dogchews/technical products which do not meet Art 20(3) of Comm Reg's,28/09/2005,,Section: 23 & 48,,AB050170,,
018,AB05,AB05018,Place on market compost/digestion residue for use on agricultural land,28/09/2005,,Section: 24 & 48,,AB050180,,
019,AB05,AB05019,Use animal by-products for unauthorised purpose,28/09/2005,,Section: 26 & 48,,AB050190,,
020,AB05,AB05020,Operate unauthorised animal by-products collection centre,28/09/2005,,Section: 27 & 48,,AB050200,,
021,AB05,AB05021,Fail to comply with Art 9(1) Comm Reg's re records of consigning/transport/receiving animal by-products,28/09/2005,,Section: 33 & 48,,AB050210,,
022,AB05,AB05022,Fail to comply with Art 9 Comm Reg's re records of burying/burning of animal by-products,28/09/2005,,Section: 34 & 48,,AB050220,,
023,AB05,AB05023,Operator of biogas/composting plant fail to keep records of deliveries,28/09/2005,,Section: 36 & 48,,AB050230,,
024,AB05,AB05024,Operator of biogas/composting plant fail to keep treatment records,28/09/2005,,Section: 37 & 48,,AB050240,,
025,AB05,AB05025,Operator of Reg 21 approved laboratory fail to keep records,28/09/2005,,Section: 38 & 48,,AB050250,,
026,AB05,AB05026,Occupier of premises where animals/pigs/birds kept fail to keep record of consignment of compost/residue,28/09/2005,,Section: 39 & 48,,AB050260,,
027,AB05,AB05027,Contravene /fail to comply with a compliance notice served under regulations,28/09/2005,,Section: 45 & 48,,AB050270,,
028,AB05,AB05028,Obstruct a person acting in execution of the regulations,28/09/2005,,Section: 47 & 48,,AB050280,,
001,AB63,AB63001,Keep boarding establishment for animals without authority of a licence,,,Section: 1 (1),,AB630010,,
002,AB63,AB63002,Contravening the provisions of subsection (1),,,Section: 1 (8),,AB630020,,
003,AB63,AB63003,Contravene a condition subject to which a licence is granted,,,Section: 1 (8),,AB630030,,
004,AB63,AB63004,Wilfully obstruct/delay a person exercising powers of entry/inspection,,,Section: 2 (2),,AB630040,,
001,AC02,AC02001,Contravention/failure to comply with any provision of regulations made under s.9,07/02/2004,,Section: 9,,AC020010,,
002,AC02,AC02002,Remove a child placed for adoption by adoption agency under s.19 from prospective adopters,,,Section: 30(1)(a) & (8),,AC020020,,
003,AC02,AC02003,Remove a child U.6 weeks placed for adoption by adoption agency/placed without authority from prospective adopters,,,Section: 30(1)(b) & (8),,AC020030,,
004,AC02,AC02004,Without leave of court/authority remove child not yet placed for adoption from Local authority accommodation,,,Section: 30(2) & (8),,AC020040,,
005,AC02,AC02005,Remove child not yet placed for adoption from accommodation provided by adoption agency,,,Section: 30(3) & (8),,AC020050,,
006,AC02,AC02006,Prospective adopter fail to return child not placed w/I 7 days of receipt of s.31(4) notice,,,Section: 31,,AC020060,,
007,AC02,AC02007,Prospective adopter fail to return child placed for adoption consent withdrawn  w/i 14 days of receipt of s.32(2) notice,,,Section: 32,,AC020070,,
008,AC02,AC02008,Prospective adopter fail to return child placed for adoption & placement refused by date determined by court,,,Section: 33,,AC020080,,
009,AC02,AC02009,Remove child from prospective adopter - placement order in force,,,"Section: 34(1)(a), (2) & (5)",,AC020090,,
010,AC02,AC02010,Remove child from prospective adopter - placement order revoked but child remains with adopter/LA accommodation,,,"Section: 34(1)(b), (2) & (5)",,AC020100,,
011,AC02,AC02011,Prospective adopter fail to return child to adoption agency w/I 7 days of notice - agency of opinion child not to remain,,,Section: 35(2) & (4),,AC020110,,
012,AC02,AC02012,Fail to return child to parent/guardian on request made under s.36 to 40,,,Section: 36(5) & (6)(a),,AC020120,,
013,AC02,AC02013,Remove a child in contravention of s.36 provisions,,,Section: 36(6)(b),,AC020130,,
014,AC02,AC02014,Bring/cause another to bring a child resident o/s British Islands into UK for purpose of adoption by a British resident,,,Section: 83(1)(a) & 8,,AC020140,,
015,AC02,AC02015,Bring/cause another to bring into UK a child adopted by a British resident under external adoption w/i 6 months,,,Section: 83(1)(b ) & 8,,AC020150,,
016,AC02,AC02016,Remove from UK a child who is Commonwealth citizen/resident of UK for the purpose of adoption,,,Section: 85,,AC020160,,
017,AC02,AC02017,Person who is not an adoption agency/manager of adoption agency taking steps mentioned in s.92(2) to arrange adoptions,,,Section: 93,,AC020170,,
018,AC02,AC02018,Preparation of a report re suitability of child for adoption/person to adopt child by unauthorised person,,,Section: 94,,AC020180,,
019,AC02,AC02019,Make prohibited payment re adoption/consent to adoption/removal from UK/ of a child etc,30/12/2005,,Section: 95,,AC020190,,
020,AC02,AC02020,Breach of restriction on advertising child adoption imposed by s123,30/12/2005,,Section: 124,,AC020200,,
021,AC02,AC02021,Unauthorised disclosure of any information entered in the register of Adoption and Children,,,Section: 129,,AC020210,,
001,AC95,AC95001,"Do an act for which license required regs, not in accordance with licence",,,Section: 2(1)(a),,AC950010,,
002,AC95,AC95002,Make/recklessly make a false statement to licensing authority,,,Section: 2(1)(b),,AC950020,,
001,AD70,AD70001,Harass a debtor,,,Section: 40(1)(a) & (4),,AD700010,,
002,AD70,AD70002,Concert with another to harass a debtor,,,"Section: 40(1)(a), (2) & (4)",,AD700020,,
003,AD70,AD70003,False represent in relation to money matters that criminal proceedings lie re failure to pay,,,Section: 40(1)(b) & (4),,AD700030,,
004,AD70,AD70004,Falsely represent self to be person authorised in official capacity to claim/enforce payment,,,Section: 40(1)(c) & (4),,AD700040,,
005,AD70,AD70005,Utter a document falsely representing yourself to be official character / purporting same,,,Section: 40(1)(d) & (4),,AD700050,,
001,AD76,AD76001,Arrange adoption of a child when not an adoption agency,22/07/1976,,Section: 11,,AD760010,,
007,AD76,AD76007,Publish advert indicating you were the parent of a child which you desired adopted,22/07/1976,,Section: 58,,AD760070,,
001,AE71,AE71001,Employer failing to comply with an attachment of earnings order,,,Section: 7 & 23(2)(a),,AE710010,,
002,AE71,AE71002,Disclose without authority debtor information,,,Section: 15B,,AE710020,,
001,AF06,AF06001,Intentionally assist an enemy,,,Section: 1(1) & 164(1),,AF060010,,
002,AF06,AF06002,Surrender/abandon a place/thing to enemy when under a duty to prevent from falling into enemy hands,,,"Section: 2(1), (7) & 164(1)",,AF060020,,
003,AF06,AF06003,Fail to use utmost exertions to carry out the lawful commands of superior officers,,,"Section: 2(3), (7) & 164(1)",,AF060030,,
004,AF06,AF06004,When posted/ordered to patrol/watch during guard duty without reasonable excuse slept/left a place where duty to be,,,"Section: 2(4), (7) & 164(1)",,AF060040,,
005,AF06,AF06005,Communicate with member/relevant civilian of HM/co-operating forces likely to cause that person to be despondent/alarmed,,,"Section: 2(5), (7) & 164(1)",,AF060050,,
006,AF06,AF06006,Did act with intent to prevent success of an action/operation of HM forces,,,"Section: 3(1), (4) & 164(1)",,AF060060,,
007,AF06,AF06007,Without lawful excuse did an act with intent to delay/discourage action/operation of HM forces,,,"Section: 3(2), (4) & 164(1)",,AF060070,,
008,AF06,AF06008,Take/search w/I to take property from person killed/injured/captured/detained in of action/op by HM/co-operating force,,,"Section: 4(1), (5) & 164(1)",,AF060080,,
009,AF06,AF06009,Take/search w/i to take a place - property left exposed/unprotected after action/operation etc of HM/co-operating force,,,"Section: 4(2), (5) & 164(1)",,AF060090,,
010,AF06,AF06010,Otherwise than for the public service took a vehicle/equipment or stores abandoned by an enemy,,,"Section: 4(3), (5) & 164(1)",,AF060100,,
011,AF06,AF06011,Having been captured by an enemy failed to take reasonable steps to rejoin HM forces,,,Section: 5 & 164(1),,AF060110,,
012,AF06,AF06012,Took part in a mutiny,,,Section: 6 & 164(1),,AF060120,,
013,AF06,AF06013,Fail to take reasonable steps to prevent/suppress a mutiny knowing that such a mutiny was occurring/intended,,,Section: 7 & 164(1),,AF060130,,
014,AF06,AF06014,Desertion,,,Section: 8 & 164(1),,AF060140,,
015,AF06,AF06015,Intentionally/negligently was absent without leave,,,Section: 9 & 164(1),,AF060150,,
016,AF06,AF06016,Fail take steps to cause apprehension knowing another has committed/is committing/attempting to desert/go AWOL,,,Section: 10 & 164(1),,AF060160,,
017,AF06,AF06017,Knowing/having reasonable cause to believe person was a superior officer use violence against him/her,,,"Section: 11(1), (4) & 164(1)",,AF060170,,
018,AF06,AF06018,Knowing/having reasonable cause to believe person was superior officer was threatening/disrespectful,,,"Section: 11(2), (4) & 164(1)",,AF060180,,
019,AF06,AF06019,Disobeyed lawful command intending to disobey/recklessly disobey the command,,,Section: 12 & 164(1),,AF060190,,
020,AF06,AF06020,Contravene lawful standing/routine order he/she knew of/reasonably be expected to know of,,,Section: 13 & 164(1),,AF060200,,
021,AF06,AF06021,Use/threaten use of force against member of HM/co-operating force on guard duty/watch etc,,,Section: 14 & 164(1),,AF060210,,
022,AF06,AF06022,Without reasonable excuse fails to attend/leaves before permitted/fails to perform any duty,,,"Section: 15(1), (3) & 164(1)",,AF060220,,
023,AF06,AF06023,Negligently perform any duty,,,"Section: 15(1), (3) & 164(1)",,AF060230,,
024,AF06,AF06024,To avoid service cause/by act aggravate/prolong self injury/cause another to injure him/her,,,"Section: 16(1)(b), (c), (d) & (4) & 164(1)",,AF060240,,
025,AF06,AF06025,At request of and with intent to enable another to avoid service causes him/her injury or aggravate/prolong injury,,,"Section: 16(2), (4) & 164(1)",,AF060250,,
026,AF06,AF06026,Knowing/having reasonable cause to believe that information would/might be useful disclosed it to an enemy,,,Section: 17 & 164(1),,AF060260,,
027,AF06,AF06027,Knowingly make false official record in a material respect knowing/having reasonable cause to believe record is official,,,"Section: 18(1), (6) & 164(1)",,AF060270,,
028,AF06,AF06028,With intent to deceive tamper with/suppress official document knowing/having reasonable cause to believe it is official,,,"Section: 18(3), (6) & 164(1)",,AF060280,,
029,AF06,AF06029,Fail to make record under a duty to make knowing/having reasonable cause to believe record would if made be official,,,"Section: 18(4), (6) & 164(1)",,AF060290,,
030,AF06,AF06030,Do an act that is prejudicial to good order and service discipline,,,Section: 19 & 164(1),,AF060300,,
031,AF06,AF06031,Due to influence of alcohol/drug was unfit for any duty which might reasonably expect to be called upon to perform,,,"Section: 20(1)(a), (5) & 164(1)",,AF060310,,
032,AF06,AF06032,Due to influence of alcohol/drug behaviour was disorderly/likely to bring discredit to Her Majesty’s forces,,,"Section: 20(1)(a), (5) & 164(1)",,AF060320,,
033,AF06,AF06033,Without reasonable excuse fought another person,,,"Section: 21(1), (4) & 164(1)",,AF060330,,
034,AF06,AF06034,Behave in a threatening/abusive/insulting/provocative manner likely to cause a disturbance,,,"Section: 21(2), (4) & 164(1)",,AF060340,,
035,AF06,AF06035,Officer/warrant officer/non-commissioned officer ill-treat/intend to ill-treat person he knows/believes is subordinate,,,Section: 22 & 164(1),,AF060350,,
036,AF06,AF06036,Do a disgraceful act which is cruel/indecent,,,Section: 23 & 164(1),,AF060360,,
037,AF06,AF06037,Intentionally/recklessly cause damage to/loss of public/service/another’s property,,,"Section: 24(1), (4) & 164(1)",,AF060370,,
038,AF06,AF06038,Negligently cause damage to/loss of public/service/another’s property,,,"Section: 24(2), (4) & 164(1)",,AF060380,,
039,AF06,AF06039,Misapply/waste public/service property,,,Section: 25 & 164(1),,AF060390,,
040,AF06,AF06040,Intentionally obstruct/fail to assist a service PC/person exercising authority on behalf of provost officer,,,Section: 27 & 164(1),,AF060400,,
041,AF06,AF06041,Disobey order of/use violence against/behaviour threatening towards person having been ordered into arrest,,,"Section: 28(1), (4) & 164(1)",,AF060410,,
042,AF06,AF06042,Use violence against/ threatening behaviour towards a person under duty to apprehend you,,,"Section: 28(2), (4) & 164(1)",,AF060420,,
043,AF06,AF06043,Escape from lawful custody,,,"Section: 29(1), (4) & 164(1)",,AF060430,,
044,AF06,AF06044,Use violence against/ threatening behaviour towards person holding you in lawful custody,,,"Section: 29(2), (4) & 164(1)",,AF060440,,
045,AF06,AF06045,Intentionally/recklessly allowed the escape of person committed to your charge/duty to guard,,,"Section: 30(1), (4) & 164(1)",,AF060450,,
046,AF06,AF06046,Knowing/believing without authority released person committed to your charge/duty to guard,,,"Section: 30(2), (4) & 164(1)",,AF060460,,
047,AF06,AF06047,Without lawful excuse recklessly cause the hazarding of any HM’s ship w/i to cause damage to/the stranding/loss of it,,,"Section: 31(1), (4) & 164(1)",,AF060470,,
048,AF06,AF06048,Negligently causes the hazarding of any HM ship,,,"Section: 31(2), (4) & 164(1)",,AF060480,,
049,AF06,AF06049,Intentionally give a false air signal or alter/interfere with an air signal/equipment for giving an air signal,,,Section: 32 & 164(1),,AF060490,,
050,AF06,AF06050,Fly/use aircraft or re aircraft/aircraft material did act w/i to cause/likely cause loss of life/injury,,,"Section: 33(1), (4) & 164(1)",,AF060500,,
051,AF06,AF06051,Fly/use aircraft or re aircraft/aircraft material negligently did act to cause/likely cause loss of life/injury,,,"Section: 33(2), (4) & 164(1)",,AF060510,,
052,AF06,AF06052,Recklessly/negligently fly aircraft under minimum height other when taking off/landing/in circ’s  prescribed by reg’s,,,"Section: 34(1), (4) & 164(1)",,AF060520,,
053,AF06,AF06053,Intentionally/recklessly/negligently fly an aircraft so as to annoy/likely to annoy another,,,Section: 35 & 164(1),,AF060530,,
054,AF06,AF06054,Make/sign inaccurate certificate affecting seagoing/fighting efficiency of HM ship/aircraft/aircraft material/equipment,,,Section: 36 & 164(1),,AF060540,,
055,AF06,AF06055,Commander fail to ensure all papers found on board ship/aircraft taken as a prize are sent to a prize court,,,"Section: 37(1), (4) & 164(1)",,AF060550,,
056,AF06,AF06056,Commander fail to ensure ship/aircraft/goods taken as prize brought a convenient port/airfield for adjudication,,,"Section: 37(2), (4) & 164(1)",,AF060560,,
057,AF06,AF06057,Take anything in the possession of/ill-treat person on board a ship/aircraft when it is taken as a prize,,,"Section: 38(1), (4) & 164(1)",,AF060570,,
058,AF06,AF06058,Unload/unpack/interfere with - goods on board a ship/aircraft taken as prize  unless judged a lawful prize/for safe,,,"Section: 38(2), (4) & 164(1)",,AF060580,,
059,AF06,AF06059,Unload/unpack/interfere with - goods on board detained ship/aircraft in exercise of belligerent right/under an enactment,,,"Section: 38(3), (4) & 164(1)",,AF060590,,
060,AF06,AF06060,Subject to service law attempt to commit an offence to which section 39 of the Act applies,,,"Section: 39(1), (9) & 164(1)",,AF060600,,
061,AF06,AF06061,Subject to service discipline attempt to commit an offence to which section 39 of the Act applies,,,"Section: 39(3), (9) & 164(1)",,AF060610,,
062,AF06,AF06062,Subject to service law incite another commit an offence to which section 40 of the Act applies,,,Section: 40 & 164(1),,AF060620,,
063,AF06,AF06063,Subject to service law/service discipline commit offence punishable by law of England & Wales,,,Section: 42 & 164(1),,AF060630,,
064,AF06,AF06064,Subject to service law/service discipline commit prescribed Air Navigation Order offence to military aircraft,,,Section: 49 & 164(1),,AF060640,,
065,AF06,AF06065,Fail comply with requirement to provide urine sample for analysis to ascertain if drugs in body,,,Section: 305 & 164(1),,AF060650,,
066,AF06,AF06066,Fail comply with requirement to provide sample for analysis to ascertain if alcohol/drugs in body - death /serious injury,,,Section: 306 & 164(1),,AF060660,,
067,AF06,AF06067,Refuse to take an oath/make an affirmation when duly required by a qualifying service court to do so,,,Section: 309(1)(a) & (4),,AF060670,,
068,AF06,AF06068,Refuse to answer question as a witness where a qualifying service court has lawfully required an answer,,,Section: 309(1)(b) & (4),,AF060680,,
069,AF06,AF06069,Refuse produce when required from custody/control a document/thing attending /brought before qualifying service court,,,Section: 309(1)(c) & (4),,AF060690,,
070,AF06,AF06070,Intentionally interrupt the proceeding of/misbehave in a qualifying service court,,,Section: 309(1)(d) & (4),,AF060700,,
071,AF06,AF06071,Insult/intimidate member of/witness in qualifying service court while they are attending/going to/returning from court,,,Section: 309(1)(e) & (4),,AF060710,,
072,AF06,AF06072,Captured person intentionally serve/assist an enemy,,,Section: 1(2) & 164,,AF060720,,
073,AF06,AF06073,Having been captured by enemy prevent/discourage other from taking steps to rejoin HM forces,,,"Section: 5(2), (4) & 164",,AF060730,,
074,AF06,AF06074,Civilian attempt to incite commission of offence to which section 40 of the Act applies,,,"Section: 40(3), (4) & 164",,AF060740,,
075,AF06,AF06075,Fail to attend hearing re requirement imposed on release from custody,,,Section: 107(5) & 164,,AF060750,,
076,AF06,AF06076,Do act which prohibited from doing by a service restraining order under s. 229,,,"Section: 229(4), (5) & 164",,AF060760,,
077,AF06,AF06077,Fail to comply with financial statement order under s. 266,,,Section: 266(3),,AF060770,,
078,AF06,AF06078,Make statement in pursuance of financial statement order which is false in material particular,,,Section: 266(4),,AF060780,,
079,AF06,AF06079,Aid/abet/counsel/procure commission of offence by another,,,Section: 344(1),,AF060790,,
080,AF06,AF06080,Do act intending to cause another to be absent without leave,,,Section: 344(2),,AF060800,,
081,AF06,AF06081,Do act intending to impede apprehension/prosecution of person who committed offence under s. 8 or 9,,,Section: 344(3),,AF060810,,
082,AF06,AF06082,Aid/abet/counsel/procure commission of offence under s. 16 (malingering) by another,,,Section: 345(1),,AF060820,,
083,AF06,AF06083,Cause/aggravate/prolong injury of another intending to cause him/her to avoid service,,,Section: 345(2),,AF060830,,
